"","X","last_first_name","BBE","Avg.LA","LA.Std.Dev","Sweet.Spot.","HH.LA","Oppo.FB.","Oppo.FB.EV","High.AA.","season","game_type","handedness","level","oppo_fb_pct_rank","oppo_fb_ev_pct_rank","high_aa_pct_rank","attack_angle_avg_rank","sweet_spot_pct_rank","launch_angle_avg_rank","hard_hit_pct_rank",".groups","poor_loft","loft_cohort","hhla_norm","avg_la_norm","ideal_aa_norm","sweet_spot_norm","angles_score","angles_tier","interaction_cohort","swspt_cohort"
"87",87,"Devers, Rafael",381,11.8,29.6,38.6,11.5,31.7,92.2,0,2024,"R","Overall","MLB",52.6,92,0,0,79.7,35.3,38.6,"drop",FALSE,"Non-Poor Loft",0.386,0.353,0,0.797,0.51485,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"88",88,"Diaz, Yainer",486,8.9,25.3,35.6,10.1,37.4,90.2,0,2024,"R","Overall","MLB",73.9,74.4,0,0,52.9,14.8,28.6,"drop",FALSE,"Non-Poor Loft",0.286,0.148,0,0.529,0.32308,"Below Average","Excluded from Analysis","Excluded from Analysis"
"89",89,"Donovan, Brendan",507,13.2,27.5,38.7,10.2,30.8,87.7,0,2024,"R","Overall","MLB",47.6,41.9,0,0,79.9,46.6,29.3,"drop",FALSE,"Non-Poor Loft",0.293,0.466,0,0.799,0.52213,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"90",90,"Doyle, Brenton",395,13.2,28.2,38.5,16.4,40.2,88.9,0,2024,"R","Overall","MLB",84.7,59.1,0,0,79.2,46.6,79.4,"drop",FALSE,"Non-Poor Loft",0.794,0.466,0,0.792,0.68508,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"91",91,"Drury, Brandon",247,6,30.8,26.7,8.8,39.1,88.7,0,2024,"R","Overall","MLB",81,56.1,0,0,2.3,6,16.8,"drop",FALSE,"Non-Poor Loft",0.168,0.06,0,0.023,0.08306,"Below Average","Excluded from Analysis","Excluded from Analysis"
"92",92,"Dubón, Mauricio",348,14.6,28,32.8,8.4,47.1,84.9,0,2024,"R","Overall","MLB",95.5,15,0,0,26.6,59.9,14.5,"drop",TRUE,"Poor Loft",0.145,0.599,0,0.266,0.33596,"Below Average","Excluded from Analysis","Excluded from Analysis"
"93",93,"Duran, Ezequiel",205,8.9,33.2,29.8,9,36,87.4,0,2024,"R","Overall","MLB",69.4,39.3,0,0,7.8,14.8,18,"drop",TRUE,"Poor Loft",0.18,0.148,0,0.078,0.13476,"Below Average","Excluded from Analysis","Excluded from Analysis"
"94",94,"Duran, Jarren",506,9.6,28,35,10.2,41.1,88.8,0,2024,"R","Overall","MLB",88,58.1,0,0,48.1,20.8,29.3,"drop",FALSE,"Non-Poor Loft",0.293,0.208,0,0.481,0.32887,"Below Average","Excluded from Analysis","Excluded from Analysis"
"95",95,"Duvall, Adam",205,22.2,33.4,29.8,20.1,22.2,86.8,0,2024,"R","Overall","MLB",12.8,34.3,0,0,7.8,98,92.5,"drop",FALSE,"Non-Poor Loft",0.925,0.98,0,0.078,0.65517,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"96",96,"Díaz, Elias",258,7.6,30.3,32.2,6.7,36.4,87.1,0,2024,"R","Overall","MLB",70.4,36.8,0,0,22.6,10,9.3,"drop",TRUE,"Poor Loft",0.093,0.1,0,0.226,0.14053,"Below Average","Excluded from Analysis","Excluded from Analysis"
"97",97,"Díaz, Yandy",472,5,28.9,28.8,3.1,52.4,89.5,0,2024,"R","Overall","MLB",98.5,66.7,0,0,5.5,4,2,"drop",FALSE,"Non-Poor Loft",0.02,0.04,0,0.055,0.0385,"Below Average","Excluded from Analysis","Excluded from Analysis"
"98",98,"Edman, Tommy",111,11.4,29.1,32.4,11.8,41.9,88.1,0,2024,"R","Overall","MLB",90.5,47.6,0,0,24.6,33.8,40.4,"drop",FALSE,"Non-Poor Loft",0.404,0.338,0,0.246,0.3285,"Below Average","Excluded from Analysis","Excluded from Analysis"
