"","player_name","pitch_name","Pitches","BIP","Swing%","Strike%","Zone%","Chase%","CS%","Foul%","Whiff%","IZ Whiff","OZ Whiff","GB%","HH%"
"219","Manaea, Sean","Overall",704,107,44.9,63.5,41.5,30.6,19.2,43.4,22.7,15.7,33.3,50.5,29
"220","Manning, Matt","Overall",615,118,48.5,65.9,45.2,32.3,18.4,35.9,24.5,20.6,31.2,38.1,41.5
"221","Manoah, Alek","Overall",741,119,48.3,62.5,36.7,36,15.4,41.6,24.9,14.8,36.1,39.5,39.5
"222","Mantiply, Joe","Overall",308,61,50,66.9,43.8,38.7,18.2,35.1,25.3,19.5,32.8,57.4,26.2
"223","Marinaccio, Ron","Overall",394,52,45.7,58.4,33,35.2,14.2,46.1,25,20.7,29,40.4,38.5
"224","Marsh, Alec","Overall",637,115,46.2,62.3,40,33.8,17.6,29.3,30.8,15.1,51.2,40,40.9
"225","Marte, Yunior","Overall",387,78,45,61.5,37,32.4,17.3,31.6,21.8,9.5,36.7,61.5,25.6
"226","Martin, Chris","Overall",391,85,57.5,73.4,49.1,41.2,18.2,40,22.2,21.7,23.2,52.9,37.6
"227","Martinez, Nick","Overall",968,185,46.5,63.4,37.3,35.1,17.8,31.8,26.7,15.6,39,54.6,29.7
"228","Martinez, Seth","Overall",430,70,47.2,65.3,40.9,33.1,18.6,39.9,25.6,16,39.3,45.7,45.7
"229","Martínez, Adrián","Overall",563,99,45.8,59.9,38.7,32.2,14.7,34.9,26.4,18.4,36.9,43.4,30.3
"230","Maton, Phil","Overall",562,89,52.8,64.9,38.6,38,13,31.6,38.4,26.5,53.4,48.3,23.6
"231","Matz, Steven","Overall",363,62,44.4,63.6,46.8,30.1,19.8,39.8,21.7,14.6,34.5,64.5,27.4
"232","May, Trevor","Overall",487,74,41.1,61,38.4,29.3,20.1,42,21,12.5,31.8,39.2,40.5
"233","Mayza, Tim","Overall",411,86,44.5,67.6,43.8,33.3,24.1,33.9,18.5,14,24.7,72.1,36
"234","McClanahan, Shane","Overall",337,62,50.7,68,43.3,35.1,17.8,36.8,26.9,15.4,44.8,48.4,46.8
"235","McGough, Scott","Overall",653,99,50.1,64.6,40.6,37.4,15.5,37.3,32.1,18.7,49,48.5,54.5
"236","McHugh, Collin","Overall",501,105,46.9,62.5,38.1,32.3,16.4,31.9,22.6,12.6,36,45.7,40
"237","Medina, Luis","Overall",1099,182,46.9,61.2,39.3,32.2,14.9,37.3,27.4,17,41.9,42.9,42.3
"238","Megill, Tylor","Overall",1085,206,44.4,59.9,40.5,26.2,16.3,35.9,21.4,15.3,32.5,49,42.2
"239","Merryweather, Julian","Overall",692,97,48,65.5,37.9,35.6,18.5,37.3,33.1,16.2,52.9,43.3,45.4
"240","Middleton, Keynan","Overall",524,66,47.5,59.5,34.5,33.2,13.4,34.9,38.6,25.2,54.4,54.5,36.4
