"","last_first_name","BIP.x","Swing%","Chase%","Foul%","Whiff%","IZ Whiff","OZ Whiff","GB%","HH%","SLGcon","BIP.y","Avg LA","LA Std Dev","Sweet Spot%","HH LA","Oppo FB%","Oppo FB EV","High AA%"
"110","Laureano, Ramón",76,46,27.8,38.9,25.1,14.7,44.6,50,44.7,0.579,76,9.2,25.9,38.2,10.6,18.8,86.1,59.2
"111","Lee, Brooks",271,49.9,35.4,36.2,24,11.3,41,43.2,40.6,0.465,270,13.4,28.2,33.3,13.8,27.6,87.7,23.4
"112","Lee, Jung Hoo",279,44.1,26.5,38.5,12.2,7.5,21.9,40.9,31.5,0.434,278,13.1,25.4,37.8,9.4,28,83.5,9.1
"113","Lile, Daylen",118,48.7,27.6,44.4,14.7,7.2,29.6,41.5,41.5,0.458,118,13,26.9,41.5,8.4,25.9,89.7,34.8
"114","Lindor, Francisco",367,49.3,33.4,41.3,21.9,15.4,32.3,41.4,43.1,0.542,364,14,30.8,33.2,15.1,26.7,88.5,29.4
"115","Lopez, Otto",97,45,29.5,35.2,19.9,13.9,30.4,48.5,34,0.33,97,7.5,29.9,34,10.3,50,89.6,18
"116","Lowe, Brandon",199,54.9,34.9,36.8,31.1,19.5,51.1,36.7,48.2,0.739,199,14.3,26.2,43.7,16.4,24.1,90.6,53.4
"117","Lowe, Josh",151,54,40.1,45.2,23.5,21.5,27.1,45,43,0.483,149,8.6,26.9,36.2,9.8,11.5,91,12.9
"118","Lowe, Nathaniel",211,45.2,28.4,42.4,24.2,14.4,41.7,43.1,40.8,0.578,211,11.3,28.8,37,12.9,47.2,90,25.4
"119","Lukes, Nathan",204,48.8,34.6,43.8,13.4,9.2,19.5,48.5,36.3,0.471,200,10.5,27.5,31,8.1,29.2,80.3,27.2
"120","Lux, Gavin",211,43.1,24.4,41.7,20.3,11.4,38.9,45,38.4,0.545,211,10.3,24.6,38.9,8.5,21.2,86.9,32.8
"121","Machado, Manny",101,49,33.5,38.5,24.1,19,32.1,41.6,53.5,0.653,101,13.8,27.9,28.7,13.2,30.6,93.9,17.5
"122","Mangum, Jake",230,62.2,47.1,41.3,19.3,11.7,28.7,63,34.3,0.413,229,-1.7,30.6,24.5,5.2,41.9,84.9,18.3
"123","Manzardo, Kyle",191,47.9,32,38.6,26.6,17.8,40.8,27.7,38.7,0.639,190,23.6,28.2,40.5,23.8,32.4,92.1,67.3
"124","Marsh, Brandon",157,47.4,32.4,42.5,20,8.8,36,44.6,46.5,0.599,155,11.6,26.1,38.7,11.7,35.7,87.5,26.3
"125","Marte, Ketel",256,44.2,27.5,34.9,22.3,14.4,35.2,41,48,0.648,256,14.2,29.8,32,10.3,27.3,84.2,23.7
"126","Martini, Nick",80,44.3,30.9,37,18.7,10.9,30.6,45,31.2,0.375,80,14.4,33.3,27.5,6.3,36.4,80.9,7.7
"127","Martínez, Angel",258,55.2,44.9,40.7,21.1,11.5,31.7,38.4,31,0.5,252,17.7,27.9,35.7,11.7,23.6,84.9,31.7
"128","Massey, Michael",140,53.8,42.2,39,18.6,14.8,23.2,30.7,34.3,0.314,139,22.7,26.7,36,13.5,32.6,86.7,27.5
